unique sample id,key,sample,type,day,ferret
616704622,a1,NW_D3_0933,NW,3,933
619329723,b1,NW_D1_0926,NW,1,926
611512423,c1,NW_D1_0931,NW,1,931
618783814,d1,NW_D3_0941,NW,3,941
618777836,e1,NW_D3_0937,NW,3,937
618300289,f1,NW_D1_0936,NW,1,936
611405794,g1,NW_D1_0932,NW,1,932
612956543,h1,NW_D8_0944,NW,8,944
613673511,a2,NW_D8_0920,NW,8,928
615405753,b2,NW_D8_0942,NW,8,942
613876330,c2,NW_D8_0935,NW,8,935
317895957,d2,NW_D5_1494,NW,5,1494
213557238,e2,NW_D5_8408,NW,5,8408
416271727,f2,NW_D3_1498,NW,3,1498
212354524,g2,NW_D8_8433,NW,8,8433
310121912,h2,NW_D8_1494,NW,8,1494
215906950,a3,NW_D8_8445,NW,8,8445
416330604,b3,NW_D8_1496,NW,8,1496
216291830,c3,NW_D8_8408,NW,8,8408
415281284,f5,NW_D5_1496,NW,5,1496
216961894,g5,NW_D5_8448,NW,5,8445
214224584,h5,NW_D5_8433,NW,5,8433
210506626,a6,NW_D3_8448,NW,3,8445
313646956,b6,NW_D3_1494,NW,3,1494
210431627,c6,NW_D3_8433,NW,3,8433
415487927,d6,NW_D3_1496,NW,3,1496
218164986,e6,NW_D3_8408,NW,3,8408
619818788,f6,NW_D5_0929,NW,5,929
618133424,g6,NW_D5_0940,NW,5,940
612035482,h6,NW_D5_0927,NW,5,927
617618601,a7,NW_D5_0939,NW,5,939
412212497,d3,LLE_1498,LLE,8,1498
614484046,e3,LLE_0931,LLE,1,931
615610101,f3,ULB_0932,ULB,1,932
617549229,g3,LLE_0932,LLE,1,932
617728057,h3,ULB_0936,ULB,1,936
615240615,a4,LLE_0936,LLE,1,936
611465905,b4,ULB_0930,ULB,3,930
610514120,c4,LLE_0930,LLE,3,930
612727489,d4,ULB_0933,ULB,3,933
617325654,e4,LLE_0933,LLE,3,933
614523447,f4,ULB_0937,ULB,3,937
616726930,g4,LLE_0937,LLE,3,937
611675322,h4,ULB_0941,ULB,3,941
611918479,a5,LLE_0941,LLE,3,941
617069062,b5,ULB_0927,ULB,5,927
612865900,c5,LLE_0927,LLE,5,927
618888864,d5,ULB_0929,ULB,5,929
612038878,e5,LLE_0929,LLE,5,929
